,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,price,variant,Mode,Fuel,Year,Location,Models,KM
0,0.0,0.0,0.0,0.0,"₹4,15,000",VXI MANUAL,MANUAL,Petrol,January 2012,DELHI,2012 Maruti Ertiga VXI MANUAL,"37,786 km"
1,1.0,1.0,1.0,1.0,"₹3,99,142",1.5 TREND TDCI MANUAL,MANUAL,Diesel,January 2014,DELHI,2014 Ford Ecosport 1.5 TREND TDCI MANUAL,"47,562 km"
2,2.0,2.0,2.0,2.0,"₹4,55,000",1.5 S I DTEC MANUAL,MANUAL,Diesel,January 2015,DELHI,2015 Honda Mobilio 1.5 S I DTEC MANUAL,"52,945 km"
3,3.0,3.0,3.0,3.0,"₹18,00,000",2.4 VX 7 STR MANUAL,MANUAL,Diesel,May 2019,DELHI,2019 Toyota Innova Crysta 2.4 VX 7 STR MANUAL,"31,235 km"
4,4.0,4.0,4.0,4.0,"₹10,00,000",ZDI PLUS MANUAL,MANUAL,Diesel,July 2019,DELHI,2019 Maruti Ertiga ZDI PLUS MANUAL,"30,079 km"
5,5.0,5.0,5.0,5.0,"₹7,60,000",1.5 TITANIUM TI VCT AT AUTOMATIC,AUTOMATIC,Petrol,July 2017,DELHI,2017 Ford Ecosport 1.5 TITANIUM TI VCT AT AUTOMATIC,"35,515 km"
6,6.0,6.0,6.0,6.0,"₹2,35,000",C6 MANUAL,MANUAL,Diesel,October 2012,DELHI,2012 Mahindra Quanto C6 MANUAL,"98,051 km"
7,7.0,7.0,7.0,7.0,"₹8,10,000",S6 PLUS MANUAL,MANUAL,Diesel,February 2016,DELHI,2016 Mahindra Scorpio S6 PLUS MANUAL,"73,732 km"
8,8.0,8.0,8.0,8.0,"₹5,25,000",1.5TITANIUM TDCI MANUAL,MANUAL,Diesel,February 2014,DELHI,2014 Ford Ecosport 1.5TITANIUM TDCI MANUAL,"73,120 km"
9,9.0,9.0,9.0,9.0,"₹8,30,000",S4PLUS MANUAL,MANUAL,Diesel,May 2016,DELHI,2016 Mahindra Scorpio S4PLUS MANUAL,"55,875 km"
10,10.0,10.0,10.0,10.0,"₹4,89,283",T8 MANUAL,MANUAL,Diesel,December 2015,DELHI,2015 Mahindra TUV300 T8 MANUAL,"95,349 km"
